Timestamp,Reader,Paper,Score,Author
0,0,0,0.8164039671955987,1
1,0,1,0.5257531140469901,1
2,1,0,0.4894699616853298,2
3,1,1,0.1280936045479151,3
4,2,0,0.46214395493712185,3
5,2,1,0.13924398266236113,5
6,3,0,0.7754196550844624,0
7,3,1,0.053294454227441446,5
8,4,0,0.06947407922406872,3
9,4,1,0.2858043401987116,4
10,5,0,0.3447313369760282,1
11,5,1,0.6683366936862787,0
12,6,0,0.5705509987308046,1
13,6,1,0.12806297672895176,3
14,7,0,0.5114046931132381,1
15,7,1,0.7828939148504895,5
16,8,0,0.47928474923933523,0
17,8,1,0.8900562608271414,1
18,9,0,0.3273635188720763,3
19,9,1,0.13973890619358853,2
20,10,0,0.7899433613711657,0
21,10,1,0.043035455787423404,3
22,11,0,0.8730174305810631,3
23,11,1,0.5402549878668284,1
24,12,0,0.5782964090765021,2
25,12,1,0.31133185809963676,3
26,13,0,0.5114441359812784,5
27,13,1,0.22072978226834514,3
28,14,0,0.45840465202967445,3
29,14,1,0.5795476578368172,0
30,15,0,0.05389194659752408,2
31,15,1,0.23064867470751932,4
32,16,0,0.5326149199597979,2
33,16,1,0.6456508102965549,0
34,17,0,0.332971778922213,2
35,17,1,0.05880633849407064,5
36,18,0,0.156823724229269,2
37,18,1,0.39221864645861526,0
38,19,0,0.7931794615626435,1
39,19,1,0.8396461376997048,3
